"species_name"
"Cheilodactylus spectabilis"
"Pseudocaranx georgianus"
"Ophthalmolepis lineolatus"
"Nesogobius sp. 2"
"Spratelloides spp."
"Chrysophrys auratus"
"Arripis georgianus"
"Arripis truttaceus"
"Cheilodactylus fuscus"
"Monacanthidae spp."
"Pseudocaranx spp."
"Heteroclinus spp."
"Apogon limenus"
"Pelates sexlineatus"
"Cheilodactylus vestitus"
"Hypoplectrodes Lord Howe"
"Labridae spp."
"Nesogobius spp."
"Atherinidae spp."
"Thysanophrys cirronasa"
"Apogon victoriae"
"Apogonidae spp."
"Cheilodactylus gibbosus"
"Apogon doederleini"
"Cheilodactylus rubrolabiatus"
"Gobiidae spp."
"Scarus spp."
"Orectolobus spp."
"Anampses spp."
"Clupeidae spp."
"Cheilodactylus ephippium"
"Ostracion cubicus"
"Apogon flavus"
"Enneapterygius spp."
"Cirripectes spp."
"Canthigaster spp."
"Scorpaena cookii"
"Dasyatidae spp."
"Chromis spp."
"Cheilodactylus francisi"
"Gymnothorax thrysoideus"
"Stethojulis spp."
"Synchiropus spp."
"Acanthuridae spp."
"Epinephelus spp."
"Eviota spp."
"Scorpaenidae spp."
"Lethrinus spp."
"Choerodon spp."
"Seriola spp."
"Lethrinus punctulatus"
"Scorpaena spp."
"Gobiodon spp."
"Eviota green"
"Cheilinus spp."
"Myripristis spp."
"Sphyraena spp."
"Gymnothorax spp."
"Istigobius spp."
"Halichoeres spp."
"Fusigobius spp."
"Sargocentron spp."
"Tripterygiidae Ningaloo"
"Chromileptes altivelis"
"Scolopsis spp."
"Pterapogon mirifica"
"Pempheris spp."
"Parascorpaena spp."
"Scolopsis margaritifer"
"Pomacentrus rhodonotus"
"Pseudochromis spp."
"Plectorhinchus spp."
"Centropyge spp."
"Acanthurus spp."
"Balistidae spp."
"Ctenochaetus spp."
"Lutjanus spp."
"Parupeneus spp."
"Pomacentrus spp."
"Scaridae spp."
"Siganus spp."
"Synodus spp."
"Oxycheilinus spp."
"Caranx spp."
"Cephalopholis spp."
"Cirrhilabrus spp."
"Naso spp."
"Actinopterygii spp."
"Meiacanthus spp."
"Blenniidae spp."
"Ecsenius black eye"
"Rhabdamia cypselurus"
"Apogon notatus"
"Aspidontus spp."
"Sphyraenidae spp."
"Neoniphon spp."
"Ecsenius spp."
"Ostracion solorensis"
"Lethrinidae spp."
