Family,Genus,Species,Region,Range size (km),Body size (cm),Mean PLD (days),Depth range (m),Schooler,Spawn,Nocturnal,Multi-Habitat,Transpacific,Reference
ACANTHURIDAE,Acanthurus,bahianus,TA,8948,35,52.3,38,YES,PEL,NO,YES,NO,1
ACANTHURIDAE,Acanthurus,chirurgus,TA,10477,34,55.2,23,YES,PEL,NO,YES,NO,1
ACANTHURIDAE,Acanthurus,coeruleus,TA,10477,36,51.6,38,YES,PEL,NO,YES,NO,1
ACANTHURIDAE,Acanthurus,lineatus,ICP,17970,38,39.5,15,YES,PEL,NO,NO,NO,2
ACANTHURIDAE,Acanthurus,nigricans,ICP,18153,21,59.7,66,NO,PEL,NO,NO,YES,2
ACANTHURIDAE,Acanthurus,nigrofuscus,ICP,19500,21,31,25,YES,PEL,NO,NO,NO,3
ACANTHURIDAE,Acanthurus,olivaceus,ICP,12355,35,59.65,43,YES,PEL,NO,YES,NO,"3,PS"
ACANTHURIDAE,Acanthurus,tractus,TA,3819,35,52.3,38,YES,PEL,NO,YES,NO,1
ACANTHURIDAE,Acanthurus,triostegus,ICP,27891,27,47.4,90,YES,PEL,NO,NO,YES,"2,PS"
ACANTHURIDAE,Ctenochaetus,binotatus,ICP,17970,22,58.5,45,NO,PEL,NO,NO,NO,"3,4"
ACANTHURIDAE,Ctenochaetus,flavicauda,ICP,3793,11.8,31,30,NO,PEL,NO,NO,NO,PS*
ACANTHURIDAE,Ctenochaetus,striatus,ICP,17970,26,43.87,27,YES,PEL,NO,NO,NO,"3,PS"
ACANTHURIDAE,Naso,annulatus,ICP,24598,100,62.3,59,YES,PEL,NO,NO,YES,PS*
ACANTHURIDAE,Naso,brevirostris,ICP,26191,60,79.65,120,YES,PEL,NO,NO,YES,3
ACANTHURIDAE,Naso,hexacanthus,ICP,18323,75,91.2,144,YES,PEL,NO,NO,YES,3
ACANTHURIDAE,Naso,lituratus,ICP,21325,46,69.4,90,NO,PEL,NO,NO,YES,2
ACANTHURIDAE,Naso,unicornis,ICP,18323,70,73.9,179,NO,PEL,NO,NO,NO,"3,PS"
ACANTHURIDAE,Naso,vlamingii,ICP,19458,55,77.3,49,YES,PEL,NO,NO,YES,PS*
ACANTHURIDAE,Paracanthurus,hepatus,ICP,17945,31,37,38,YES,PEL,NO,NO,NO,2
ACANTHURIDAE,Zebrasoma,flavescens,ICP,6244,20,54,44,NO,PEL,NO,NO,NO,PS*
ACANTHURIDAE,Zebrasoma,scopas,ICP,17970,40,55.2,59,NO,PEL,NO,NO,NO,"3,PS"
ACANTHURIDAE,Zebrasoma,veliferum,ICP,11000,40,35.75,29,NO,PEL,NO,NO,NO,"2,PS"
ANTENNARIIDAE,Antennarius,multiocellatus,TA,10924,20,54,66,NO,PEL,YES,NO,NO,PS*
ANTENNARIIDAE,Antennarius,tuberosus,ICP,19458,9,47.5,73,NO,PEL,YES,NO,NO,PS*
APOGONIDAE,Apogon,aurolineatus,TA,4199,6.4,19.5,75,NO,DEM,YES,YES,NO,PS*
APOGONIDAE,Apogon,binotatus,TA,4091,15,20.1,59,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,coccineus,ICP,20049,6,19.7,27,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,compressus,ICP,6305,12,24,18,NO,DEM,YES,NO,NO,5
APOGONIDAE,Apogon,crassiceps,ICP,20629,5,17.7,37,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,cyanosoma,ICP,4582,8,21.1,49,NO,DEM,YES,YES,NO,"5,6"
APOGONIDAE,Apogon,doederleini,ICP,8625,14,22.6,3,NO,DEM,YES,YES,NO,6
APOGONIDAE,Apogon,exostigma,ICP,19720,11,33.5,28,NO,DEM,YES,YES,NO,PS*
APOGONIDAE,Apogon,fraenatus,ICP,20629,11,25.3,47,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,imberbis,TA,9115,15,21.3,190,YES,DEM,YES,YES,NO,7
APOGONIDAE,Apogon,maculatus,TA,4199,11.1,20.7,128,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,nigrofasciatus,ICP,20629,8,18.5,34,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,novemfasciatus,ICP,11616,9,29.7,3,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,properuptus,ICP,8518,7.5,19.2,27,NO,DEM,YES,YES,NO,8
APOGONIDAE,Apogon,pseudomaculatus,TA,11294,8.9,26.8,99,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Apogon,quadrisquamatus,TA,10002,7,18.7,74,NO,DEM,YES,YES,NO,PS*
APOGONIDAE,Astrapogon,stellatus,TA,8784,8,20.2,39,NO,DEM,YES,YES,NO,PS*
APOGONIDAE,Cheilodipterus,macrodon,ICP,19720,25,16.3,40,NO,DEM,YES,NO,NO,8
APOGONIDAE,Cheilodipterus,quinquelineatus,ICP,20000,13,17.97,40,YES,DEM,YES,YES,NO,"2,5,6"
APOGONIDAE,Foa,brachygramma,ICP,18323,8,30.6,134,NO,DEM,YES,YES,NO,9
APOGONIDAE,Fowleria,marmorata,ICP,21011,9,41.3,37,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Gymnapogon,urospilotus,ICP,6771,3.6,34.6,7,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Nectamia,bandanensis,ICP,9792,9,24.5,24,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Phaeoptyx,pigmentaria,TA,10924,8,20,37,NO,DEM,YES,NO,NO,PS*
APOGONIDAE,Sphaeraemia,orbicularis,ICP,17945,10,17,5,YES,DEM,YES,YES,NO,2
AULOSTOMIDAE,Aulostomus,chinensis,ICP,27631,80,93.3,119,NO,PEL,NO,YES,YES,PS*
AULOSTOMIDAE,Aulostomus,strigosus,TA,6335,75,93,20,NO,PEL,NO,YES,NO,10
BALISTIDAE,Balistapus,undulatus,ICP,20629,30,51.3,48,NO,PEL,NO,NO,NO,PS*
BALISTIDAE,Balistes,vetula,TA,13940,50,75,273,NO,PEL,NO,YES,NO,11
BALISTIDAE,Balistoides,conspicillum,ICP,15924,26,36,74,NO,PEL,NO,NO,NO,2
BALISTIDAE,PSeudobalistes,flavimarginatus,ICP,20629,60,44.5,48,NO,PEL,NO,YES,NO,PS*
BALISTIDAE,Rhineacanthus,aculeatus,ICP,18323,30,45,50,NO,PEL,NO,NO,NO,"2,PS"
BALISTIDAE,Rhinecanthus,rectangulus,ICP,19500,30,43.5,10,NO,PEL,NO,NO,NO,2
