"latitude","longitude","survey_date","species_name","size_class_mean","total_mean","biomass_mean","ID","class","order","family"
-43.53,146.99,2022-08-28,"Notolabrus fucicola",15,1,72.4,"S1","Actinopterygii","Perciformes","Labridae"
-43.53,146.99,2022-08-28,"Notolabrus tetricus",18,1,129.5,"S1","Actinopterygii","Perciformes","Labridae"
-43.53,146.99,2022-08-28,"Pseudolabrus rubicundus",15,1,65.5,"S1","Actinopterygii","Perciformes","Labridae"
-43.53,146.99,2022-09-07,"Notolabrus fucicola",17.5,1,122.7,"S2","Actinopterygii","Perciformes","Labridae"
-43.53,146.99,2022-09-07,"Notolabrus tetricus",20.5,1.2,177.4,"S2","Actinopterygii","Perciformes","Labridae"
-43.53,146.99,2022-09-07,"Pseudolabrus rubicundus",8.8,1,14.2,"S2","Actinopterygii","Perciformes","Labridae"
-43.53,147,2022-05-24,"Acanthaluteres vittiger",25,1,410.8,"S3","Actinopterygii","Tetraodontiformes","Monacanthidae"
-43.53,147,2022-05-24,"Cheilodactylus spectabilis",40,1,760.2,"S3","Actinopterygii","Perciformes","Cheilodactylidae"
-43.53,147,2022-05-24,"Notolabrus tetricus",22.7,1.5,278.4,"S3","Actinopterygii","Perciformes","Labridae"
-43.53,147,2022-05-24,"Olisthops cyanomelas",25,1,211.1,"S3","Actinopterygii","Perciformes","Odacidae"
-43.53,147,2022-05-24,"Pictilabrus laticlavius",25,1,211.1,"S3","Actinopterygii","Perciformes","Labridae"
-43.53,147,2022-08-28,"Latridopsis forsteri",20,1,180.2,"S4","Actinopterygii","Perciformes","Latridae"
-43.53,147,2022-08-28,"Notolabrus tetricus",13,1.6,77.7,"S4","Actinopterygii","Perciformes","Labridae"
-43.48,147.01,2022-09-07,"Diodon nicthemerus",15,1,127.7,"S5","Actinopterygii","Tetraodontiformes","Diodontidae"
-43.48,147.01,2022-09-07,"Notolabrus tetricus",19.3,1.1,127.6,"S5","Actinopterygii","Perciformes","Labridae"
-43.45,146.98,2022-04-07,"Acanthaluteres vittiger",5,1,5.5,"S6","Actinopterygii","Tetraodontiformes","Monacanthidae"
