"site_code_depth","latitude","longitude","survey_date"
"BI-S1_10.1",-41.87,148.31,2021-04-21
"BI-S1_10.2",-41.87,148.31,2021-04-21
"BI-S1_10.3",-41.87,148.31,2021-04-21
"BI-S1_10.4",-41.87,148.31,2021-04-21
"BI-S1_5.1",-41.87,148.31,2021-04-21
"BI-S1_5.2",-41.87,148.31,2021-04-21
"BI-S1_5.3",-41.87,148.31,2021-04-21
"BI-S1_5.4",-41.87,148.31,2021-04-21
"BI-S2_10.1",-41.87,148.31,2021-04-21
"BI-S2_10.2",-41.87,148.31,2021-04-21
"BI-S2_10.3",-41.87,148.31,2021-04-21
"BI-S2_10.4",-41.87,148.31,2021-04-21
"BI-S2_5.1",-41.87,148.31,2021-04-21
"BI-S2_5.2",-41.87,148.31,2021-04-21
"BI-S2_5.3",-41.87,148.31,2021-04-21
"BI-S2_5.4",-41.87,148.31,2021-04-21
"BI-S3_10.1",-41.87,148.3,2021-04-21
"BI-S3_10.2",-41.87,148.3,2021-04-21
"BI-S3_10.3",-41.87,148.3,2021-04-21
"BI-S3_10.4",-41.87,148.3,2021-04-21
"BI-S4_10.1",-41.88,148.31,2021-04-22
"BI-S4_10.2",-41.88,148.31,2021-04-22
"BI-S4_10.3",-41.88,148.31,2021-04-22
"BI-S4_10.4",-41.88,148.31,2021-04-22
"BI-S4_5.1",-41.88,148.31,2021-04-22
"BI-S4_5.2",-41.88,148.31,2021-04-22
"BI-S4_5.3",-41.88,148.31,2021-04-22
"BI-S4_5.4",-41.88,148.31,2021-04-22
"BI-S5_5.1",-41.9,148.32,2021-04-22
"BI-S5_5.2",-41.9,148.32,2021-04-22
"BI-S5_5.3",-41.9,148.32,2021-04-22
"BI-S5_5.4",-41.9,148.32,2021-04-22
"CBMP1_8",-28.61,153.63,2021-06-16
"CBMP1_8.5",-28.61,153.63,2021-06-16
"CBMP2_9",-28.61,153.63,2021-06-16
"CBMP2_9.5",-28.61,153.63,2021-06-16
"CHMP-S2_10.2",-37.51,149.98,2021-04-22
"CHMP-S2_10.3",-37.51,149.98,2021-04-22
"CHMP-S3_9.2",-37.56,149.92,2021-04-22
"CHMP-S3_9.3",-37.56,149.92,2021-04-22
"CHMP-S4_7.2",-37.55,149.91,2021-04-20
"CHMP-S4_7.3",-37.55,149.91,2021-04-20
"CHMP-S5_8.2",-37.51,149.98,2021-04-20
"CHMP-S5_8.3",-37.51,149.98,2021-04-20
"CHMP-S6_7.2",-37.51,149.97,2021-04-20
"CHMP-S6_7.3",-37.51,149.97,2021-04-20
"CHMP-S9_5.2",-37.56,149.91,2021-04-22
"CHMP-S9_5.3",-37.56,149.91,2021-04-22
"CS102_6",-17.42,151.07,2021-08-09
"CS102_8",-17.42,151.07,2021-08-09
"CS103_5",-17.44,151.07,2021-08-09
"CS103_7",-17.44,151.07,2021-08-09
"CS104_4",-17.43,151.07,2021-08-08
"CS104_5",-17.43,151.07,2021-08-08
"CS130_11",-16.93,150,2021-08-10
"CS130_6",-16.93,150,2021-08-10
"CS131_10",-16.93,150,2021-08-10
"CS131_8",-16.93,150,2021-08-08
"CS134_3",-16.94,150,2021-08-10
"CS134_4",-16.94,150,2021-08-10
"CS139_17",-16.53,150.27,2021-08-12
"CS139_6",-16.53,150.27,2021-08-12
"CS14_6",-16.94,149.99,2021-08-10
"CS14_8",-16.94,149.99,2021-08-08
"CS140_12",-16.53,150.27,2021-08-11
"CS140_6",-16.53,150.27,2021-08-11
"CS141_10",-16.52,150.28,2021-08-12
"CS141_4",-16.52,150.28,2021-08-12
"CS143_6.5",-16.3,149.96,2021-08-13
"CS143_8",-16.3,149.96,2021-08-13
"CS145_10",-16.29,149.96,2021-08-13
"CS145_6",-16.29,149.96,2021-08-13
"CS185_2",-10.45,144.45,2021-08-18
"CS185_2.5",-10.45,144.45,2021-08-18
"CS186_12",-10.43,144.45,2021-08-17
"CS186_5",-10.43,144.45,2021-08-17
"CS187_3",-10.44,144.45,2021-08-17
"CS187_3.1",-10.44,144.45,2021-08-17
"CS188_10",-10.44,144.43,2021-08-18
"CS188_6",-10.44,144.43,2021-08-18
"CS189_3",-10.45,144.43,2021-08-18
"CS189_6",-10.45,144.43,2021-08-18
"CS191_12",-10.37,144.53,2021-08-19
"CS191_7",-10.37,144.53,2021-08-19
"CS192_2.5",-10.38,144.53,2021-08-19
"CS192_3",-10.38,144.53,2021-08-19
"CS193_12",-10.04,144.69,2021-08-20
"CS193_7",-10.04,144.69,2021-08-20
