"class","family","genus","species","valid_genus","valid_species","bodySize","size_class"
"Actinopterygii","Acanthuridae","Acanthuridae","spp.",NA,NA,20.89061262984,5
"Actinopterygii","Acanthuridae","Acanthurus","achilles","Acanthurus","achilles",24,15
"Actinopterygii","Acanthuridae","Acanthurus","albipectoralis","Acanthurus","albipectoralis",33,25
"Actinopterygii","Acanthuridae","Acanthurus","auranticavus","Acanthurus","auranticavus",45,25
"Actinopterygii","Acanthuridae","Acanthurus","bariene","Acanthurus","bariene",50,25
"Actinopterygii","Acanthuridae","Acanthurus","blochii","Acanthurus","blochii",45,20
"Actinopterygii","Acanthuridae","Acanthurus","dussumieri","Acanthurus","dussumieri",54,25
"Actinopterygii","Acanthuridae","Acanthurus","grammoptilus","Acanthurus","grammoptilus",35,25
"Actinopterygii","Acanthuridae","Acanthurus","leucocheilus","Acanthurus","leucocheilus",45,30
"Actinopterygii","Acanthuridae","Acanthurus","leucosternon","Acanthurus","leucosternon",54,20
"Actinopterygii","Acanthuridae","Acanthurus","lineatus","Acanthurus","lineatus",38,25
"Actinopterygii","Acanthuridae","Acanthurus","maculiceps","Acanthurus","maculiceps",40,35
"Actinopterygii","Acanthuridae","Acanthurus","mata","Acanthurus","mata",50,30
"Actinopterygii","Acanthuridae","Acanthurus","nigricans","Acanthurus","nigricans",21.3,15
"Actinopterygii","Acanthuridae","Acanthurus","nigricauda","Acanthurus","nigricauda",40,25
"Actinopterygii","Acanthuridae","Acanthurus","nigrofuscus","Acanthurus","nigrofuscus",21,12.5
"Actinopterygii","Acanthuridae","Acanthurus","nigroris","Acanthurus","nigroris",25,10
"Actinopterygii","Acanthuridae","Acanthurus","olivaceus","Acanthurus","olivaceus",35,20
"Actinopterygii","Acanthuridae","Acanthurus","pyroferus","Acanthurus","pyroferus",29,12.5
"Actinopterygii","Acanthuridae","Acanthurus","spp.",NA,NA,20.89061262984,5
"Actinopterygii","Acanthuridae","Acanthurus","thompsoni","Acanthurus","thompsoni",27,25
"Actinopterygii","Acanthuridae","Acanthurus","triostegus","Acanthurus","triostegus",27,12.5
"Actinopterygii","Acanthuridae","Acanthurus","xanthopterus","Acanthurus","xanthopterus",70,30
"Actinopterygii","Acanthuridae","Ctenochaetus","binotatus","Ctenochaetus","binotatus",22,5
"Actinopterygii","Acanthuridae","Ctenochaetus","cyanocheilus","Ctenochaetus","cyanocheilus",16,5
"Actinopterygii","Acanthuridae","Ctenochaetus","spp.",NA,NA,20.89061262984,5
"Actinopterygii","Acanthuridae","Ctenochaetus","striatus","Ctenochaetus","striatus",26,20
"Actinopterygii","Acanthuridae","Ctenochaetus","truncatus","Ctenochaetus","truncatus",16,15
"Actinopterygii","Acanthuridae","Naso","annulatus","Naso","annulatus",100,50
"Actinopterygii","Acanthuridae","Naso","brachycentron","Naso","brachycentron",90,40
"Actinopterygii","Acanthuridae","Naso","brevirostris","Naso","brevirostris",60,35
"Actinopterygii","Acanthuridae","Naso","caesius","Naso","caesius",45.6,50
"Actinopterygii","Acanthuridae","Naso","fageni","Naso","fageni",80,30
"Actinopterygii","Acanthuridae","Naso","hexacanthus","Naso","hexacanthus",75,25
"Actinopterygii","Acanthuridae","Naso","lituratus","Naso","lituratus",46,25
"Actinopterygii","Acanthuridae","Naso","spp.",NA,NA,20.89061262984,5
"Actinopterygii","Acanthuridae","Naso","tonganus","Naso","tonganus",60,40
"Actinopterygii","Acanthuridae","Naso","unicornis","Naso","unicornis",70,35
"Actinopterygii","Acanthuridae","Naso","vlamingii","Naso","vlamingii",60,20
"Actinopterygii","Acanthuridae","Paracanthurus","hepatus","Paracanthurus","hepatus",31,10
"Actinopterygii","Acanthuridae","Prionurus","maculatus","Prionurus","maculatus",45,20
"Actinopterygii","Acanthuridae","Prionurus","microlepidotus","Prionurus","microlepidotus",70,25
"Actinopterygii","Acanthuridae","Zebrasoma","scopas","Zebrasoma","scopas",40,12.5
"Actinopterygii","Acanthuridae","Zebrasoma","velifer","Zebrasoma","velifer",40,25
"Actinopterygii","Ambassidae","Ambassis","jacksoniensis","Ambassis","jacksoniensis",7,5
"Actinopterygii","Aplodactylidae","Aplodactylus","arctidens","Aplodactylus","arctidens",65,40
"Actinopterygii","Aplodactylidae","Aplodactylus","etheridgii","Aplodactylus","etheridgii",45,40
"Actinopterygii","Aplodactylidae","Aplodactylus","lophodon","Aplodactylus","lophodon",45,30
"Actinopterygii","Aplodactylidae","Aplodactylus","westralis","Aplodactylus","westralis",34.7,40
"Actinopterygii","Apogonidae","Apogon","capricornis","Ostorhinchus","capricornis",5.8,5
"Actinopterygii","Apogonidae","Apogon","doederleini","Ostorhinchus","doederleini",14,5
"Actinopterygii","Apogonidae","Apogon","fasciatus","Ostorhinchus","fasciatus",12.6,12.5
"Actinopterygii","Apogonidae","Apogon","flavus","Ostorhinchus","flavus",9.6,7.5
"Actinopterygii","Apogonidae","Apogon","limenus","Ostorhinchus","limenus",14,12.5
"Actinopterygii","Apogonidae","Apogon","notatus","Ostorhinchus","notatus",10,5
"Actinopterygii","Apogonidae","Apogon","victoriae","Ostorhinchus","victoriae",8,10
"Actinopterygii","Apogonidae","Apogonidae","spp.",NA,NA,8.9151205521341,5
"Actinopterygii","Apogonidae","Archamia","bleekeri","Archamia","bleekeri",10,5
"Actinopterygii","Apogonidae","Cheilodipterus","artus","Cheilodipterus","artus",18.7,7.5
"Actinopterygii","Apogonidae","Cheilodipterus","intermedius","Cheilodipterus","intermedius",20,7.5
"Actinopterygii","Apogonidae","Cheilodipterus","isostigmus","Cheilodipterus","isostigmus",11,7.5
"Actinopterygii","Apogonidae","Cheilodipterus","macrodon","Cheilodipterus","macrodon",25,15
"Actinopterygii","Apogonidae","Cheilodipterus","quinquelineatus","Cheilodipterus","quinquelineatus",13,5
"Actinopterygii","Apogonidae","Nectamia","bandanensis","Nectamia","bandanensis",10,5
"Actinopterygii","Apogonidae","Ostorhinchus","angustatus","Ostorhinchus","angustatus",11,2.5
"Actinopterygii","Apogonidae","Ostorhinchus","aureus","Ostorhinchus","aureus",14.5,12.5
"Actinopterygii","Apogonidae","Ostorhinchus","cavitensis","Ostorhinchus","cavitensis",7.5,5
"Actinopterygii","Apogonidae","Ostorhinchus","chrysotaenia","Ostorhinchus","chrysotaenia",12,7.5
"Actinopterygii","Apogonidae","Ostorhinchus","compressus","Ostorhinchus","compressus",12,12.5
"Actinopterygii","Apogonidae","Ostorhinchus","cookii","Ostorhinchus","cookii",10,5
