"class","family","genus","species","valid_genus","valid_species","bodySize"
"Actinopterygii","Acanthuridae","Acanthuridae","spp.",NA,NA,NA
"Actinopterygii","Acanthuridae","Acanthurus","achilles","Acanthurus","achilles",24
"Actinopterygii","Acanthuridae","Acanthurus","albipectoralis","Acanthurus","albipectoralis",33
"Actinopterygii","Acanthuridae","Acanthurus","auranticavus","Acanthurus","auranticavus",45
"Actinopterygii","Acanthuridae","Acanthurus","bariene","Acanthurus","bariene",50
"Actinopterygii","Acanthuridae","Acanthurus","blochii","Acanthurus","blochii",45
"Actinopterygii","Acanthuridae","Acanthurus","dussumieri","Acanthurus","dussumieri",54
"Actinopterygii","Acanthuridae","Acanthurus","grammoptilus","Acanthurus","grammoptilus",35
"Actinopterygii","Acanthuridae","Acanthurus","leucocheilus","Acanthurus","leucocheilus",45
"Actinopterygii","Acanthuridae","Acanthurus","leucosternon","Acanthurus","leucosternon",54
"Actinopterygii","Acanthuridae","Acanthurus","lineatus","Acanthurus","lineatus",38
"Actinopterygii","Acanthuridae","Acanthurus","maculiceps","Acanthurus","maculiceps",40
"Actinopterygii","Acanthuridae","Acanthurus","mata","Acanthurus","mata",50
"Actinopterygii","Acanthuridae","Acanthurus","nigricans","Acanthurus","nigricans",21.3
"Actinopterygii","Acanthuridae","Acanthurus","nigricauda","Acanthurus","nigricauda",40
"Actinopterygii","Acanthuridae","Acanthurus","nigrofuscus","Acanthurus","nigrofuscus",21
"Actinopterygii","Acanthuridae","Acanthurus","nigroris","Acanthurus","nigroris",25
"Actinopterygii","Acanthuridae","Acanthurus","olivaceus","Acanthurus","olivaceus",35
"Actinopterygii","Acanthuridae","Acanthurus","pyroferus","Acanthurus","pyroferus",29
"Actinopterygii","Acanthuridae","Acanthurus","spp.",NA,NA,NA
"Actinopterygii","Acanthuridae","Acanthurus","thompsoni","Acanthurus","thompsoni",27
"Actinopterygii","Acanthuridae","Acanthurus","triostegus","Acanthurus","triostegus",27
"Actinopterygii","Acanthuridae","Acanthurus","xanthopterus","Acanthurus","xanthopterus",70
"Actinopterygii","Acanthuridae","Ctenochaetus","binotatus","Ctenochaetus","binotatus",22
"Actinopterygii","Acanthuridae","Ctenochaetus","cyanocheilus","Ctenochaetus","cyanocheilus",16
"Actinopterygii","Acanthuridae","Ctenochaetus","spp.",NA,NA,NA
"Actinopterygii","Acanthuridae","Ctenochaetus","striatus","Ctenochaetus","striatus",26
"Actinopterygii","Acanthuridae","Ctenochaetus","truncatus","Ctenochaetus","truncatus",16
"Actinopterygii","Acanthuridae","Naso","annulatus","Naso","annulatus",100
"Actinopterygii","Acanthuridae","Naso","brachycentron","Naso","brachycentron",90
"Actinopterygii","Acanthuridae","Naso","brevirostris","Naso","brevirostris",60
"Actinopterygii","Acanthuridae","Naso","caesius","Naso","caesius",45.6
"Actinopterygii","Acanthuridae","Naso","fageni","Naso","fageni",80
"Actinopterygii","Acanthuridae","Naso","hexacanthus","Naso","hexacanthus",75
"Actinopterygii","Acanthuridae","Naso","lituratus","Naso","lituratus",46
"Actinopterygii","Acanthuridae","Naso","spp.",NA,NA,NA
"Actinopterygii","Acanthuridae","Naso","tonganus","Naso","tonganus",60
"Actinopterygii","Acanthuridae","Naso","unicornis","Naso","unicornis",70
"Actinopterygii","Acanthuridae","Naso","vlamingii","Naso","vlamingii",60
"Actinopterygii","Acanthuridae","Paracanthurus","hepatus","Paracanthurus","hepatus",31
"Actinopterygii","Acanthuridae","Prionurus","maculatus","Prionurus","maculatus",45
"Actinopterygii","Acanthuridae","Prionurus","microlepidotus","Prionurus","microlepidotus",70
"Actinopterygii","Acanthuridae","Zebrasoma","scopas","Zebrasoma","scopas",40
"Actinopterygii","Acanthuridae","Zebrasoma","velifer","Zebrasoma","velifer",40
"Actinopterygii","Ambassidae","Ambassis","jacksoniensis","Ambassis","jacksoniensis",7
"Actinopterygii","Aplodactylidae","Aplodactylus","arctidens","Aplodactylus","arctidens",65
"Actinopterygii","Aplodactylidae","Aplodactylus","etheridgii","Aplodactylus","etheridgii",45
