"class","family","genus","species","valid_genus","valid_species","bodySize","ref_bodysize"
"Actinopterygii","Acanthuridae","Acanthuridae","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Acanthuridae","Acanthurus","albipectoralis","Acanthurus","albipectoralis",33,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","auranticavus","Acanthurus","auranticavus",45,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","blochii","Acanthurus","blochii",45,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","dussumieri","Acanthurus","dussumieri",54,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","grammoptilus","Acanthurus","grammoptilus",35,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","leucocheilus","Acanthurus","leucocheilus",45,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","leucosternon","Acanthurus","leucosternon",54,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","lineatus","Acanthurus","lineatus",38,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","maculiceps","Acanthurus","maculiceps",40,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","mata","Acanthurus","mata",50,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","nigricans","Acanthurus","nigricans",21.3,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","nigricauda","Acanthurus","nigricauda",40,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","nigrofuscus","Acanthurus","nigrofuscus",21,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","nigroris","Acanthurus","nigroris",25,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","olivaceus","Acanthurus","olivaceus",35,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","pyroferus","Acanthurus","pyroferus",29,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Acanthuridae","Acanthurus","thompsoni","Acanthurus","thompsoni",27,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","triostegus","Acanthurus","triostegus",27,"Fishbase2022"
"Actinopterygii","Acanthuridae","Acanthurus","xanthopterus","Acanthurus","xanthopterus",70,"Fishbase2022"
"Actinopterygii","Acanthuridae","Ctenochaetus","binotatus","Ctenochaetus","binotatus",22,"Fishbase2022"
"Actinopterygii","Acanthuridae","Ctenochaetus","cyanocheilus","Ctenochaetus","cyanocheilus",16,"Fishbase2022"
"Actinopterygii","Acanthuridae","Ctenochaetus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Acanthuridae","Ctenochaetus","striatus","Ctenochaetus","striatus",26,"Fishbase2022"
"Actinopterygii","Acanthuridae","Naso","annulatus","Naso","annulatus",100,"Fishbase2022"
"Actinopterygii","Acanthuridae","Naso","brachycentron","Naso","brachycentron",90,"Fishbase2022"
"Actinopterygii","Acanthuridae","Naso","brevirostris","Naso","brevirostris",60,"Fishbase2022"
"Actinopterygii","Acanthuridae","Naso","caesius","Naso","caesius",45.6,"Fishbase2022"
"Actinopterygii","Acanthuridae","Naso","fageni","Naso","fageni",80,"Fishbase2022"
