"latitude","longitude","survey_date","class","order","family","genus","species","valid_genus","valid_species","biomass_mean","size_class_mean","total_mean","bodySize","ref_bodysize"
-43.5,147,2022-08-28,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",72.4,15,1,38,"Fishbase2022"
-43.5,147,2022-08-28,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",129.5,18,1,50,"Fishbase2022"
-43.5,147,2022-08-28,"Actinopterygii","Perciformes","Labridae","Pseudolabrus","rubicundus","Pseudolabrus","rubicundus",65.5,15,1,NA,"Fishbase2022"
-43.5,147,2022-09-07,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",122.7,17.5,1,38,"Fishbase2022"
-43.5,147,2022-09-07,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",177.4,20.5,1.2,50,"Fishbase2022"
-43.5,147,2022-09-07,"Actinopterygii","Perciformes","Labridae","Pseudolabrus","rubicundus","Pseudolabrus","rubicundus",14.2,8.8,1,NA,"Fishbase2022"
-43.5,147,2022-05-24,"Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","vittiger","Acanthaluteres","vittiger",410.8,25,1,35,"Fishbase2022"
-43.5,147,2022-05-24,"Actinopterygii","Perciformes","Cheilodactylidae","Cheilodactylus","spectabilis","Chirodactylus","spectabilis",760.2,40,1,100,"Fishbase2022"
-43.5,147,2022-05-24,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",278.4,22.7,1.5,50,"Fishbase2022"
-43.5,147,2022-05-24,"Actinopterygii","Perciformes","Odacidae","Olisthops","cyanomelas","Olisthops","cyanomelas",211.1,25,1,35,"Fishbase2022"
-43.5,147,2022-05-24,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",211.1,25,1,23,"Fishbase2022"
-43.5,147,2022-08-28,"Actinopterygii","Perciformes","Latridae","Latridopsis","forsteri","Latridopsis","forsteri",180.2,20,1,65,"Fishbase2022"
-43.5,147,2022-08-28,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",77.7,13,1.6,50,"Fishbase2022"
-43.5,147,2022-09-07,"Actinopterygii","Tetraodontiformes","Diodontidae","Diodon","nicthemerus","Diodon","nicthemerus",127.7,15,1,40,"Fishbase2022"
-43.5,147,2022-09-07,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",127.6,19.3,1.1,50,"Fishbase2022"
-43.5,147,2022-04-07,"Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","vittiger","Acanthaluteres","vittiger",5.5,5,1,35,"Fishbase2022"
-43.5,147,2022-04-07,"Actinopterygii","Tetraodontiformes","Monacanthidae","Meuschenia","australis","Meuschenia","australis",650.1,30,1,30,"Fishbase2022"
-43.5,147,2022-04-07,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",235.8,23.3,1,38,"Fishbase2022"
-43.5,147,2022-04-07,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",105.7,15,2,50,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",101.8,17.9,1,50,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Odacidae","Olisthops","cyanomelas","Olisthops","cyanomelas",305.7,30,1,35,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",24,8.8,3,15,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",176.2,22.5,1.2,50,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",139.9,20,1,23,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",15.3,10,1,15,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Perciformes","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",2.6,5,1,11.1,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",214.9,22.5,1,38,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",220.1,22.8,1.2,50,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",139.9,20,1,23,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",33.7,6.1,4.7,15,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Tetraodontiformes","Diodontidae","Diodon","nicthemerus","Diodon","nicthemerus",277,20,1,40,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",254.9,25,1,38,"Fishbase2022"
-43.4,147.1,2022-08-30,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",121.5,20,1,50,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",8.5,7.5,1,14,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",72.4,15,1,38,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",149.1,19.6,1.3,50,"Fishbase2022"
-43.4,147.1,2022-09-15,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",12.3,6.2,2.8,15,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Tetraodontiformes","Ostraciidae","Aracana","aurita","Aracana","aurita",111.7,12.5,1,20,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Serranidae","Caesioperca","lepidoptera","Caesioperca","lepidoptera",1163.9,25,2,30,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Serranidae","Caesioperca","rasor","Caesioperca","rasor",835.7,14.8,4.8,25,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Dinolestidae","Dinolestes","lewini","Dinolestes","lewini",7372.1,32.5,32.2,84,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Tripterygiidae","Forsterygion","varium","Forsterygion","varium",8.4,7.5,1,13,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Latridae","Latridopsis","forsteri","Latridopsis","forsteri",370.8,30,1,65,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",46.2,10.8,1.3,14,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",399.9,27.2,1.3,38,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",316.3,22.9,2.3,50,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Odacidae","Olisthops","cyanomelas","Olisthops","cyanomelas",531.7,40,1,35,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Pempheridae","Pempheris","multiradiata","Pempheris","multiradiata",43.1,12.5,1,28,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",136.7,15.5,1.4,23,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Cheilodactylidae","Pseudogoniistius","nigripes","Pseudogoniistius","nigripes",297,25,1,41,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Gadiformes","Moridae","Pseudophycis","bachus","Pseudophycis","bachus",447.7,40,1,90,"Fishbase2022"
-43.3,147.1,2021-03-22,"Actinopterygii","Perciformes","Kyphosidae","Scorpis","lineolata","Scorpis","lineolata",209.7,11.7,7.3,30,"Fishbase2022"
