"latitude","longitude"
-20.16,149.04
-20.05,148.88
-20.07,148.93
-20.11,148.94
-20.09,148.95
-43.13,147.96
-43.14,147.97
-35.55,138.13
-35.52,138.16
-42.95,147.36
-43,147.33
-43.14,147.87
-43.04,147.34
-43.07,147.37
-40.85,145.5
-40.91,145.58
-35.14,138.46
-33.99,151.23
-32.71,152.15
-31.83,115.73
-35.04,138.49
-35.27,138.43
-35.21,138.46
-31.85,115.75
-35.76,138.07
-35.75,138.06
-35.72,137.98
-35.73,138.02
-35.72,137.96
-35.72,137.94
-35.59,138.11
-43.05,147.34
-43.06,147.33
-29.07,167.96
-29.06,167.95
-29.06,167.96
-29.01,167.92
-32.71,152.16
-32.27,115.69
-29,167.94
-29,167.92
-29.13,167.95
-29.12,167.94
-31.84,115.75
-34.85,138.45
-43.06,147.36
-43.01,147.33
-34.96,138.48
-29.05,167.99
-33.84,151.28
-42.59,148.05
-42.56,148.07
-42.58,148.06
-35.42,138.32
-35.53,138.15
-42.72,148.01
-42.66,148.01
-42.6,148.05
-35.37,138.38
-35.39,138.35
-35.38,138.36
-42.58,147.92
-42.55,147.95
-35.4,138.33
-33.82,151.29
-33.82,151.3
-42.63,148.02
-42.58,148.05
-42.52,147.97
-34.44,138.2
-34.62,138.31
-35.51,138.22
-35.51,138.21
-35.37,138.37
-35.4,138.34
-43.29,147.18
-43.29,147.14
-35.72,137.99
-35.74,138.04
-35.52,138.17
-43.28,147.17
-43.27,147.14
-33.84,151.29
-33.81,151.31
-33.81,151.27
-33.83,151.27
-33.83,151.26
-35.05,150.84
-35.09,150.69
-35.07,150.77
-35.08,150.8
-35.1,150.7
-35.12,150.71
-35.13,150.73
-35.11,150.77
-40.09,147.76
-40.08,147.77
-40.02,147.78
-40.01,147.87
-28.68,113.76
-28.67,113.84
-28.72,113.78
-28.47,113.78
-28.48,113.77
-28.46,113.77
-28.89,114.01
-28.85,114.01
-28.7,113.83
-28.72,113.79
-28.7,113.78
-37.51,149.98
-37.55,149.91
-28.88,113.92
-28.97,113.95
-37.51,149.97
-41.87,148.31
-41.87,148.3
-41.88,148.31
-37.56,149.91
-37.56,149.92
-41.9,148.32
-31.99,115.56
-31.99,115.5
-32.02,115.56
-31.99,115.54
-32.02,115.45
-32.02,115.5
-31.99,115.53
-32.03,115.58
-32.02,115.55
-31.97,115.54
-32.03,115.53
-31.99,115.52
-32,115.47
-32.79,152.11
